Country,Code,ContinentCode,Year,Life expectancy in years
Brunei,BRN,AS,1990,71.66
Brunei,BRN,AS,1991,71.87
Brunei,BRN,AS,1992,72.08
Brunei,BRN,AS,1993,72.31
Brunei,BRN,AS,1994,72.55
Brunei,BRN,AS,1995,72.82
Brunei,BRN,AS,1996,73.1
Brunei,BRN,AS,1997,73.36
Brunei,BRN,AS,1998,73.62
Brunei,BRN,AS,1999,73.86
Brunei,BRN,AS,2000,74.08
Brunei,BRN,AS,2001,74.28
Brunei,BRN,AS,2002,74.43
Brunei,BRN,AS,2003,74.56
Brunei,BRN,AS,2004,74.65
Brunei,BRN,AS,2005,74.73
Brunei,BRN,AS,2006,74.78
Brunei,BRN,AS,2007,74.82
Brunei,BRN,AS,2008,74.84
Brunei,BRN,AS,2009,74.85
Brunei,BRN,AS,2010,74.85
Brunei,BRN,AS,2011,74.86
Brunei,BRN,AS,2012,74.83
Brunei,BRN,AS,2013,74.8
Brunei,BRN,AS,2014,74.78
Brunei,BRN,AS,2015,74.75
Brunei,BRN,AS,2016,74.73
Brunei,BRN,AS,2017,74.72
Brunei,BRN,AS,2018,74.71
Brunei,BRN,AS,2019,74.75
Brunei,BRN,AS,2020,74.79
Brunei,BRN,AS,2021,74.64
Myanmar,MMR,AS,1990,56.66
Myanmar,MMR,AS,1991,57.01
Myanmar,MMR,AS,1992,57.25
Myanmar,MMR,AS,1993,57.63
Myanmar,MMR,AS,1994,57.96
Myanmar,MMR,AS,1995,58.26
Myanmar,MMR,AS,1996,58.94
Myanmar,MMR,AS,1997,59.24
Myanmar,MMR,AS,1998,59.79
Myanmar,MMR,AS,1999,59.88
Myanmar,MMR,AS,2000,60.15
Myanmar,MMR,AS,2001,60.42
Myanmar,MMR,AS,2002,60.72
Myanmar,MMR,AS,2003,60.98
Myanmar,MMR,AS,2004,61.25
Myanmar,MMR,AS,2005,61.6
Myanmar,MMR,AS,2006,61.89
Myanmar,MMR,AS,2007,62.37
Myanmar,MMR,AS,2008,56.51
Myanmar,MMR,AS,2009,63.15
Myanmar,MMR,AS,2010,63.33
Myanmar,MMR,AS,2011,63.9
Myanmar,MMR,AS,2012,64.14
Myanmar,MMR,AS,2013,64.82
Myanmar,MMR,AS,2014,65.06
Myanmar,MMR,AS,2015,65.56
Myanmar,MMR,AS,2016,65.68
Myanmar,MMR,AS,2017,65.84
Myanmar,MMR,AS,2018,66.46
Myanmar,MMR,AS,2019,66.61
Myanmar,MMR,AS,2020,66.8
Myanmar,MMR,AS,2021,65.67
Cambodia,KHM,AS,1990,55.43
Cambodia,KHM,AS,1991,55.79
Cambodia,KHM,AS,1992,56.02
Cambodia,KHM,AS,1993,56.08
Cambodia,KHM,AS,1994,56.03
Cambodia,KHM,AS,1995,56.31
Cambodia,KHM,AS,1996,56.35
Cambodia,KHM,AS,1997,56.74
Cambodia,KHM,AS,1998,57.03
Cambodia,KHM,AS,1999,57.69
Cambodia,KHM,AS,2000,58.63
Cambodia,KHM,AS,2001,59.97
Cambodia,KHM,AS,2002,61.23
Cambodia,KHM,AS,2003,62.52
Cambodia,KHM,AS,2004,63.55
Cambodia,KHM,AS,2005,64.29
Cambodia,KHM,AS,2006,65.06
Cambodia,KHM,AS,2007,65.73
Cambodia,KHM,AS,2008,66.47
Cambodia,KHM,AS,2009,67.44
Cambodia,KHM,AS,2010,67.71
Cambodia,KHM,AS,2011,68.42
Cambodia,KHM,AS,2012,68.92
Cambodia,KHM,AS,2013,69.3
Cambodia,KHM,AS,2014,69.74
Cambodia,KHM,AS,2015,69.87
Cambodia,KHM,AS,2016,70.22
Cambodia,KHM,AS,2017,70.51
Cambodia,KHM,AS,2018,70.56
Cambodia,KHM,AS,2019,70.69
Cambodia,KHM,AS,2020,70.42
Cambodia,KHM,AS,2021,69.58
Indonesia,IDN,AS,1990,63.18
Indonesia,IDN,AS,1991,63.54
Indonesia,IDN,AS,1992,64.13
Indonesia,IDN,AS,1993,64.6
Indonesia,IDN,AS,1994,64.86
Indonesia,IDN,AS,1995,65.24
Indonesia,IDN,AS,1996,65.36
Indonesia,IDN,AS,1997,65.73
Indonesia,IDN,AS,1998,65.96
Indonesia,IDN,AS,1999,66.22
Indonesia,IDN,AS,2000,66.43
Indonesia,IDN,AS,2001,66.76
Indonesia,IDN,AS,2002,67.13
Indonesia,IDN,AS,2003,67.41
Indonesia,IDN,AS,2004,65.75
Indonesia,IDN,AS,2005,67.65
Indonesia,IDN,AS,2006,67.91
Indonesia,IDN,AS,2007,68.19
Indonesia,IDN,AS,2008,68.23
Indonesia,IDN,AS,2009,68.49
Indonesia,IDN,AS,2010,68.68
Indonesia,IDN,AS,2011,68.82
Indonesia,IDN,AS,2012,68.97
Indonesia,IDN,AS,2013,69.26
Indonesia,IDN,AS,2014,69.53
Indonesia,IDN,AS,2015,69.7
Indonesia,IDN,AS,2016,69.8
Indonesia,IDN,AS,2017,69.94
Indonesia,IDN,AS,2018,70.34
Indonesia,IDN,AS,2019,70.52
Indonesia,IDN,AS,2020,68.81
Indonesia,IDN,AS,2021,67.57
Laos,LAO,AS,1990,53.71
Laos,LAO,AS,1991,54.46
Laos,LAO,AS,1992,54.95
Laos,LAO,AS,1993,55.44
Laos,LAO,AS,1994,55.75
Laos,LAO,AS,1995,56.38
Laos,LAO,AS,1996,56.89
Laos,LAO,AS,1997,57.29
Laos,LAO,AS,1998,57.67
Laos,LAO,AS,1999,57.87
Laos,LAO,AS,2000,58.38
Laos,LAO,AS,2001,59.07
Laos,LAO,AS,2002,59.53
Laos,LAO,AS,2003,60.03
Laos,LAO,AS,2004,60.29
Laos,LAO,AS,2005,60.98
Laos,LAO,AS,2006,61.49
Laos,LAO,AS,2007,62.08
Laos,LAO,AS,2008,62.6
Laos,LAO,AS,2009,63.27
Laos,LAO,AS,2010,63.97
Laos,LAO,AS,2011,64.74
Laos,LAO,AS,2012,65.36
Laos,LAO,AS,2013,65.72
Laos,LAO,AS,2014,66.36
Laos,LAO,AS,2015,66.67
Laos,LAO,AS,2016,67.17
Laos,LAO,AS,2017,67.43
Laos,LAO,AS,2018,67.63
Laos,LAO,AS,2019,68.14
Laos,LAO,AS,2020,68.5
Laos,LAO,AS,2021,68.06
Malaysia,MYS,AS,1990,71.31
Malaysia,MYS,AS,1991,71.44
Malaysia,MYS,AS,1992,71.53
