Country,Code,ContinentCode,Year,Infant deaths per 1000 live births
Brunei,BRN,AS,1990,10
Brunei,BRN,AS,1991,10
Brunei,BRN,AS,1992,10
Brunei,BRN,AS,1993,10
Brunei,BRN,AS,1994,10
Brunei,BRN,AS,1995,10
Brunei,BRN,AS,1996,9
Brunei,BRN,AS,1997,9
Brunei,BRN,AS,1998,9
Brunei,BRN,AS,1999,9
Brunei,BRN,AS,2000,8
Brunei,BRN,AS,2001,8
Brunei,BRN,AS,2002,8
Brunei,BRN,AS,2003,8
Brunei,BRN,AS,2004,8
Brunei,BRN,AS,2005,8
Brunei,BRN,AS,2006,8
Brunei,BRN,AS,2007,8
Brunei,BRN,AS,2008,8
Brunei,BRN,AS,2009,8
Brunei,BRN,AS,2010,8
Brunei,BRN,AS,2011,8
Brunei,BRN,AS,2012,8
Brunei,BRN,AS,2013,8
Brunei,BRN,AS,2014,9
Brunei,BRN,AS,2015,9
Brunei,BRN,AS,2016,9
Brunei,BRN,AS,2017,9
Brunei,BRN,AS,2018,9
Brunei,BRN,AS,2019,10
Brunei,BRN,AS,2020,10
Brunei,BRN,AS,2021,10
Myanmar,MMR,AS,1990,82
Myanmar,MMR,AS,1991,80
Myanmar,MMR,AS,1992,78
Myanmar,MMR,AS,1993,77
Myanmar,MMR,AS,1994,75
Myanmar,MMR,AS,1995,73
Myanmar,MMR,AS,1996,72
Myanmar,MMR,AS,1997,70
Myanmar,MMR,AS,1998,68
Myanmar,MMR,AS,1999,67
Myanmar,MMR,AS,2000,65
Myanmar,MMR,AS,2001,64
Myanmar,MMR,AS,2002,62
Myanmar,MMR,AS,2003,61
Myanmar,MMR,AS,2004,59
Myanmar,MMR,AS,2005,57
Myanmar,MMR,AS,2006,56
Myanmar,MMR,AS,2007,54
Myanmar,MMR,AS,2008,63
Myanmar,MMR,AS,2009,50
Myanmar,MMR,AS,2010,49
Myanmar,MMR,AS,2011,47
Myanmar,MMR,AS,2012,45
Myanmar,MMR,AS,2013,44
Myanmar,MMR,AS,2014,42
Myanmar,MMR,AS,2015,41
Myanmar,MMR,AS,2016,39
Myanmar,MMR,AS,2017,38
Myanmar,MMR,AS,2018,37
Myanmar,MMR,AS,2019,36
Myanmar,MMR,AS,2020,35
Myanmar,MMR,AS,2021,34
Cambodia,KHM,AS,1990,85
Cambodia,KHM,AS,1991,85
Cambodia,KHM,AS,1992,85
Cambodia,KHM,AS,1993,85
Cambodia,KHM,AS,1994,86
Cambodia,KHM,AS,1995,87
Cambodia,KHM,AS,1996,87
Cambodia,KHM,AS,1997,87
Cambodia,KHM,AS,1998,86
Cambodia,KHM,AS,1999,83
Cambodia,KHM,AS,2000,79
Cambodia,KHM,AS,2001,74
Cambodia,KHM,AS,2002,67
Cambodia,KHM,AS,2003,62
Cambodia,KHM,AS,2004,57
Cambodia,KHM,AS,2005,53
Cambodia,KHM,AS,2006,49
Cambodia,KHM,AS,2007,46
Cambodia,KHM,AS,2008,43
Cambodia,KHM,AS,2009,40
Cambodia,KHM,AS,2010,37
Cambodia,KHM,AS,2011,35
Cambodia,KHM,AS,2012,32
