Country,Code,ContinentCode,Year,Rate of change of real GDP,GDP (billions USD),GDP per capita (current USD),Population size (millions)
Brunei,BRN,AS,2000,2.85,6,17971.89,0.33
Brunei,BRN,AS,2001,2.74,5.6,16437.43,0.34
Brunei,BRN,AS,2002,3.87,5.84,16817.24,0.35
Brunei,BRN,AS,2003,2.9,6.56,18521.36,0.35
Brunei,BRN,AS,2004,0.5,7.87,21839.26,0.36
Brunei,BRN,AS,2005,0.39,9.53,25991.21,0.37
Brunei,BRN,AS,2006,4.4,11.47,30767.75,0.37
Brunei,BRN,AS,2007,0.15,12.25,32337.28,0.38
Brunei,BRN,AS,2008,-1.94,14.39,37427.55,0.38
Brunei,BRN,AS,2009,-1.76,10.73,27497.54,0.39
Brunei,BRN,AS,2010,2.6,13.71,34609.7,0.4
Brunei,BRN,AS,2011,3.75,18.53,46139.11,0.4
Brunei,BRN,AS,2012,0.91,19.05,46844.2,0.41
Brunei,BRN,AS,2013,-2.13,18.09,43950.06,0.41
Brunei,BRN,AS,2014,-2.51,17.1,41035.77,0.42
Brunei,BRN,AS,2015,-0.39,12.93,30681.44,0.42
Brunei,BRN,AS,2016,-2.48,11.4,26762.04,0.43
Brunei,BRN,AS,2017,1.33,12.13,28186.98,0.43
Brunei,BRN,AS,2018,0.05,13.57,31241.02,0.43
Brunei,BRN,AS,2019,3.87,13.47,30748.32,0.44
Brunei,BRN,AS,2020,1.13,12.01,27179.34,0.44
Brunei,BRN,AS,2021,-1.59,14.01,31448.91,0.45
Myanmar,MMR,AS,2000,12.42,6.85,150.41,45.54
Myanmar,MMR,AS,2001,12.47,6.22,135.18,46.01
Myanmar,MMR,AS,2002,11.7,6.11,131.47,46.48
Myanmar,MMR,AS,2003,12.99,7.75,165.26,46.92
Myanmar,MMR,AS,2004,13.7,9.39,198.38,47.34
Myanmar,MMR,AS,2005,13.57,10.59,221.87,47.72
Myanmar,MMR,AS,2006,13.31,11.86,246.69,48.09
Myanmar,MMR,AS,2007,12.5,15.59,321.83,48.45
Myanmar,MMR,AS,2008,11.07,23.01,472.26,48.73
Myanmar,MMR,AS,2009,10.41,29.46,600.93,49.02
Myanmar,MMR,AS,2010,10.07,37.8,765.24,49.39
Myanmar,MMR,AS,2011,7.52,54.12,1086.84,49.79
Myanmar,MMR,AS,2012,6.49,58.32,1161.31,50.22
Myanmar,MMR,AS,2013,7.9,60.57,1195.94,50.65
Myanmar,MMR,AS,2014,8.2,63.26,1238.73,51.07
Myanmar,MMR,AS,2015,3.28,63.05,1224.56,51.48
Myanmar,MMR,AS,2016,10.51,60.29,1161.86,51.89
Myanmar,MMR,AS,2017,5.75,61.45,1175.2,52.29
Myanmar,MMR,AS,2018,6.4,67.14,1274.92,52.67
Myanmar,MMR,AS,2019,6.75,68.7,1295.2,53.04
Myanmar,MMR,AS,2020,3.17,78.93,1477.45,53.42
Myanmar,MMR,AS,2021,-17.91,65.12,1210.54,53.8
Cambodia,KHM,AS,2000,9.99,3.65,301.52,12.12
Cambodia,KHM,AS,2001,8.15,3.98,322.9,12.34
Cambodia,KHM,AS,2002,6.58,4.28,341.04,12.56
Cambodia,KHM,AS,2003,8.51,4.66,364.28,12.79
Cambodia,KHM,AS,2004,10.34,5.34,410.09,13.02
Cambodia,KHM,AS,2005,13.25,6.29,475.07,13.25
Cambodia,KHM,AS,2006,10.77,7.27,539.75,13.48
Cambodia,KHM,AS,2007,10.21,8.64,629.92,13.71
Cambodia,KHM,AS,2008,6.69,10.35,742.4,13.94
Cambodia,KHM,AS,2009,0.09,10.4,734.82,14.16
Cambodia,KHM,AS,2010,5.96,11.24,782.7,14.36
Cambodia,KHM,AS,2011,7.07,12.83,880.31,14.57
Cambodia,KHM,AS,2012,7.31,14.05,950.48,14.79
Cambodia,KHM,AS,2013,7.36,15.23,1015.22,15
Cambodia,KHM,AS,2014,7.14,16.7,1098.07,15.21
Cambodia,KHM,AS,2015,6.97,18.05,1170.74,15.42
Cambodia,KHM,AS,2016,6.93,20.02,1281.11,15.62
Cambodia,KHM,AS,2017,7,22.18,1400.9,15.83
Cambodia,KHM,AS,2018,7.47,24.57,1533.32,16.03
Cambodia,KHM,AS,2019,7.05,27.09,1671.39,16.21
Cambodia,KHM,AS,2020,-3.1,25.87,1577.91,16.4
Cambodia,KHM,AS,2021,3.03,26.96,1625.23,16.59
Indonesia,IDN,AS,2000,4.92,165.02,770.87,214.07
Indonesia,IDN,AS,2001,3.64,160.45,739,217.11
Indonesia,IDN,AS,2002,4.5,195.66,888.9,220.12
Indonesia,IDN,AS,2003,4.78,234.77,1052.41,223.08
Indonesia,IDN,AS,2004,5.03,256.84,1136.76,225.94
Indonesia,IDN,AS,2005,5.69,285.87,1249.4,228.81
Indonesia,IDN,AS,2006,5.5,364.57,1572.8,231.8
Indonesia,IDN,AS,2007,6.35,432.22,1840.33,234.86
Indonesia,IDN,AS,2008,6.01,510.23,2144.39,237.94
Indonesia,IDN,AS,2009,4.63,539.58,2239.1,240.98
Indonesia,IDN,AS,2010,6.22,755.09,3094.44,244.02
Indonesia,IDN,AS,2011,6.17,892.97,3613.8,247.1
Indonesia,IDN,AS,2012,6.03,917.87,3668.21,250.22
Indonesia,IDN,AS,2013,5.56,912.52,3602.89,253.28
Indonesia,IDN,AS,2014,5.01,890.81,3476.62,256.23
Indonesia,IDN,AS,2015,4.88,860.85,3322.58,259.09
Indonesia,IDN,AS,2016,5.03,931.88,3558.82,261.85
Indonesia,IDN,AS,2017,5.07,1015.62,3839.79,264.5
Indonesia,IDN,AS,2018,5.17,1042.27,3902.66,267.07
Indonesia,IDN,AS,2019,5.02,1119.1,4151.23,269.58
Indonesia,IDN,AS,2020,-2.07,1059.05,3895.62,271.86
Indonesia,IDN,AS,2021,3.7,1186.51,4334.22,273.75
Laos,LAO,AS,2000,5.8,1.73,318.77,5.43
Laos,LAO,AS,2001,5.75,1.77,320.42,5.52
Laos,LAO,AS,2002,5.92,1.76,313.62,5.61
Laos,LAO,AS,2003,6.07,2.02,355.65,5.69
Laos,LAO,AS,2004,6.36,2.37,410.25,5.77
Laos,LAO,AS,2005,7.11,2.74,467.38,5.85
Laos,LAO,AS,2006,8.62,3.46,581.01,5.95
Laos,LAO,AS,2007,7.6,4.22,699.04,6.04
Laos,LAO,AS,2008,7.82,5.45,887.64,6.14
Laos,LAO,AS,2009,7.5,5.84,936.79,6.23
Laos,LAO,AS,2010,8.53,7.13,1127.84,6.32
Laos,LAO,AS,2011,8.04,8.75,1363.73,6.42
Laos,LAO,AS,2012,8.03,10.19,1566.01,6.51
Laos,LAO,AS,2013,8.03,11.98,1815.44,6.6
Laos,LAO,AS,2014,7.61,13.28,1984.51,6.69
Laos,LAO,AS,2015,7.27,14.43,2125.46,6.79
Laos,LAO,AS,2016,7.02,15.91,2309.05,6.89
Laos,LAO,AS,2017,6.89,17.07,2439.46,7
Laos,LAO,AS,2018,6.25,18.14,2553.36,7.11
Laos,LAO,AS,2019,5.46,18.74,2598.51,7.21
Laos,LAO,AS,2020,0.5,18.98,2593.35,7.32
Laos,LAO,AS,2021,2.53,18.83,2535.62,7.43
Malaysia,MYS,AS,2000,8.86,93.79,4087.56,22.95
Malaysia,MYS,AS,2001,0.52,92.78,3941.12,23.54
Malaysia,MYS,AS,2002,5.39,100.85,4177.1,24.14
Malaysia,MYS,AS,2003,5.79,110.2,4454.53,24.74
Malaysia,MYS,AS,2004,6.78,124.75,4924.34,25.33
Malaysia,MYS,AS,2005,5.33,143.53,5536.84,25.92
Malaysia,MYS,AS,2006,5.58,162.69,6137.15,26.51
